;0
0;-49.8297017249466
1;-49.8297017249466
2;-49.8297017249466
3;-49.8297017249466
4;-50.240011238371544
5;-50.240011238371544
6;-50.240011238371544
7;-50.240011238371544
8;-50.5523783328055
9;-50.5523783328055
10;-50.5523783328055
11;-50.5523783328055
12;-50.75816194225249
13;-50.75816194225249
14;-50.75816194225249
15;-50.75816194225249
16;-50.5523783328055
17;-50.5523783328055
18;-50.5523783328055
19;-50.5523783328055
20;-49.87954706337886
21;-49.87954706337886
22;-49.87954706337886
23;-49.87954706337886
24;-48.321123676403914
25;-48.321123676403914
26;-48.321123676403914
27;-48.321123676403914
28;-46.903712741893685
29;-46.903712741893685
30;-46.903712741893685
31;-46.903712741893685
32;-47.381156848760824
33;-47.381156848760824
34;-47.381156848760824
35;-47.381156848760824
36;-48.529534922105455
37;-48.529534922105455
38;-48.529534922105455
39;-48.529534922105455
40;-48.73701916417417
41;-48.73701916417417
42;-48.73701916417417
43;-48.73701916417417
44;-50.95758807584828
45;-50.95758807584828
46;-50.95758807584828
47;-50.95758807584828
48;-51.67715450228469
49;-51.67715450228469
50;-51.67715450228469
51;-51.67715450228469
52;-52.33753713002155
53;-52.33753713002155
54;-52.33753713002155
55;-52.33753713002155
56;-52.488740737495654
57;-52.488740737495654
58;-52.488740737495654
59;-52.488740737495654
60;-51.88300390837412
61;-51.88300390837412
62;-51.88300390837412
63;-51.88300390837412
64;-52.488740737495654
65;-52.488740737495654
66;-52.488740737495654
67;-52.488740737495654
68;-50.95758807584828
69;-50.95758807584828
70;-50.95758807584828
71;-50.95758807584828
72;-50.240011238371544
73;-50.240011238371544
74;-50.240011238371544
75;-50.240011238371544
76;-49.31179581755541
77;-49.31179581755541
78;-49.31179581755541
79;-49.31179581755541
80;-48.425229198224386
81;-48.425229198224386
82;-48.425229198224386
83;-48.425229198224386
84;-48.03602474677682
85;-48.03602474677682
86;-48.03602474677682
87;-48.03602474677682
88;-48.529534922105455
89;-48.529534922105455
90;-48.529534922105455
91;-48.529534922105455
92;-49.261360969834804
93;-49.261360969834804
94;-49.261360969834804
95;-49.261360969834804
